nome,preco,loja,url,categoria
"Notebook Lenovo IdeaPad 1 15IRU7, Intel Core i3-1315U, 8GB, SSD 256GB, 15.6"""" FHD, Windows 11 Home, Cloud Grey - 83QJ0001BO",4499.0,Kabum,https://www.kabum.com.br/produto/1034156/notebook-lenovo-ideapad-1-15iru7-intel-core-i3-1315u-8gb-ssd-256gb-15-6-fhd-windows-11-home-cloud-grey-83qj0001bo,notebook
"Notebook Dell 15 Dc15-i51334u-u70 15.6"" Full Hd 13ª Gen Intel Core i5 16gb 512gb SSD Linux Preto Carbono",6479.1,Kabum,https://www.kabum.com.br/produto/1028020/notebook-dell-15-dc15-i51334u-u70-15-6-full-hd-13-gen-intel-core-i5-16gb-512gb-ssd-linux-preto-carbono,notebook
"Notebook Dell 15 Dc15-i51334u-m70 15.6"" Full Hd 13ª Gen Intel Core i5 16gb 512gb SSD Win 11 Preto Carbono",6917.48,Kabum,https://www.kabum.com.br/produto/1028021/notebook-dell-15-dc15-i51334u-m70-15-6-full-hd-13-gen-intel-core-i5-16gb-512gb-ssd-win-11-preto-carbono,notebook
"Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i5-13420h 16gb 512gb SSD WINDOWS 11 15.3"" - 83ns0001br Luna Grey",5015.12,Kabum,https://www.kabum.com.br/produto/883577/notebook-lenovo-ideapad-slim-3-15irh10-intel-core-i5-13420h-16gb-512gb-ssd-windows-11-15-3-83ns0001br-luna-grey,notebook
"Notebook Hp 250r G9 i5-1334u Memória 16gb Ddr4 SSD Nvme 256gb Tela 15,6'' Hd WINDOWS 11 Pro",5650.68,Kabum,https://www.kabum.com.br/produto/1038505/notebook-hp-250r-g9-i5-1334u-memoria-16gb-ddr4-ssd-nvme-256gb-tela-15-6-hd-windows-11-pro,notebook
"Notebook Lenovo Ideapad 1 R3-7320u 4gb 256gb SSD Linux 15.6"" 82x5s00600 Cloud Grey",2903.12,Kabum,https://www.kabum.com.br/produto/530844/notebook-lenovo-ideapad-1-r3-7320u-4gb-256gb-ssd-linux-15-6-82x5s00600-cloud-grey,notebook
"Notebook Samsung Galaxy Book4, Intel Core I3, 8GB,  SSD 256GB, Tela 15.6"" Full HD LED, Windows 11 Home, Grafite",3599.1,Kabum,https://www.kabum.com.br/produto/586453/notebook-samsung-galaxy-book4-intel-core-i3-8gb-ssd-256gb-tela-15-6-full-hd-led-windows-11-home-grafite,notebook
"Notebook Lenovo Ideapad Slim 3 15iru10 Intel Core 3 100u 8GB 256gb SSD Linux 15.3"" - 83nus00000 Luna Grey",3238.38,Kabum,https://www.kabum.com.br/produto/1008286/notebook-lenovo-ideapad-slim-3-15iru10-intel-core-3-100u-8gb-256gb-ssd-linux-15-3-83nus00000-luna-grey,notebook
"Notebook Dell 15 I Dc15-i71355u-u90 15.6"" Full Hd 13ª Gen Intel Core i7 16gb 512gb SSD Ubuntu Linux Preto Carbono",6965.1,Kabum,https://www.kabum.com.br/produto/1043071/notebook-dell-15-i-dc15-i71355u-u90-15-6-full-hd-13-gen-intel-core-i7-16gb-512gb-ssd-ubuntu-linux-preto-carbono,notebook
"Notebook Acer Aspire Go Ag15 Core i5-13420h 8GB Ddr5 512gb SSD Tela 15.6"" Full Hd W11 - Cinza",4047.08,Kabum,https://www.kabum.com.br/produto/918097/notebook-acer-aspire-go-15-intel-core-i5-13420h-8gb-ram-512gb-ssd-15-6-full-hd-w11,notebook
"Notebook Asus Tuf Gaming F16 Fx608jhr Nvidia RTX 5050 Intel Core i5 14a 16gb Ram 512gb SSD WINDOWS 11 Home Tela 16"" LED Fhd 165hz Gray - Rv122w",8924.15,Kabum,https://www.kabum.com.br/produto/1008856/notebook-asus-tuf-gaming-f16-fx608jhr-nvidia-rtx-5050-intel-core-i5-14a-16gb-ram-512gb-ssd-windows-11-home-tela-16-led-fhd-165hz-gray-rv122w,notebook
"Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i5-13420h SSD 512gb 8GB 15.3""",4255.44,Kabum,https://www.kabum.com.br/produto/1055954/notebook-lenovo-ideapad-slim-3-15irh10-intel-core-i5-13420h-ssd-512gb-8gb-15-3-,notebook
"Notebook Asus Vivobook Go E1504fa Amd Ryzen 5 7520u 8GB Ram 512gb SSD Linux Keepos Tela 15,6"" Fhd Black - Nj732",3304.61,Kabum,https://www.kabum.com.br/produto/549510/notebook-asus-vivobook-go-e1504fa-amd-ryzen-5-7520u-8gb-ram-512gb-ssd-linux-keepos-tela-15-6-fhd-black-nj732,notebook
"Notebook Acer Aspire 5 A515-45-R478 AMD Ryzen 5 16GB 15,6” Full HD Linux NX.AYDAL.00R",4049.1,Kabum,https://www.kabum.com.br/produto/956980/notebook-acer-aspire-5-a515-45-r478-amd-ryzen-5-16gb-15-6-full-hd-linux-nx-aydal-00r,notebook
"Notebook Asus Vivobook Go 15, AMD Ryzen 5-7520u 2.8GHz, 8GB, SSD 512GB, Tela 15.6"" Full HD, Windows 11 Home, Preto - E1504fa-Nj836w",3799.05,Kabum,https://www.kabum.com.br/produto/515946/notebook-asus-vivobook-go-15-e1504fa-nj836w-amd-ryzen-5-7520u-2-8-ghz-8gb-512gb-ssd-windows-11-home-15-6-full-hd-preto,notebook
"Notebook Lenovo Ideapad Slim 3 15arp10 Amd Ryzen 7 7735hs 16gb 512gb SSD WINDOWS 11 15.3"" - 83mm0002bo Luna Grey",5451.06,Kabum,https://www.kabum.com.br/produto/921850/notebook-lenovo-ideapad-slim-3-15arp10-amd-ryzen-7-7735hs-16gb-512gb-ssd-windows-11-15-3-83mm0002bo-luna-grey,notebook
Notebook Vaio Fe16 Amd® Ryzen 5-5625u WINDOWS 11 Home 16gb Ram 512gb SSD 16” Ips Wuxga Antirreflexo - Cinza Grafite,4499.1,Kabum,https://www.kabum.com.br/produto/777010/notebook-vaio-fe16-amd-ryzen-5-5625u-16gb-ram-512gb-ssd-16-ips-wuxga-windows-11-home-grafite,notebook
"Notebook Positivo Vision R15m Amd Ryzen 3-7330u, 8GB RAM, SSD 256GB, Tela 15” Full Hd Ips, Wi-fi 6, Linux  - Minitela - Preto",2649.0,Kabum,https://www.kabum.com.br/produto/1040499/notebook-positivo-vision-r15m-amd-ryzen-3-7330u-8gb-ram-ssd-256gb-tela-15-full-hd-ips-wi-fi-6-linux-minitela-preto,notebook
